id,name,symbol,data_added,last_updated,price,volume_24h,circulating_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d
2133,Bata,BTA,2015-05-29T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.7443887027624057e-02,+4.1276340000000002e-02,+5.0526011341970004e+06,+5.0526011341970004e+06,+1.0000000000000000e+07,-1.1118453000000000e-01,-8.3593598510000007e+01,-4.6632500659999998e+01
2134,Jade Currency,JADE,2020-04-26T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.6384894153058298e-03,+1.4580126640000000e+02,+5.3652398000000000e+07,+9.0000000000000000e+07,,-3.6109166999999998e-01,-1.2916675799999999e+00,-5.8827501399999997e+00
2135,Freicoin,FRC,2013-05-03T00:00:00.000Z,2023-02-12T02:18:00.000Z,+1.5263401149171051e-03,+0.0000000000000000e+00,+5.7502113205574140e+07,+1.0000000000000000e+08,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2136,Gems ,GEM,2018-02-20T00:00:00.000Z,2023-02-12T02:18:00.000Z,+7.2633847039081542e-05,+1.1279082546170001e+04,+1.2032928959941730e+09,+8.0000000000000000e+09,,-1.9469396000000000e-01,-4.6244270800000002e+00,-4.3051133000000003e-01
2137,ORAO Network,ORAO,2021-03-20T00:00:00.000Z,2023-02-12T02:18:00.000Z,+2.2043260121877052e-03,+1.8748367143989999e+04,+3.9397667799999997e+07,+1.0000000000000000e+09,+1.0000000000000000e+09,-4.8545880000000000e-02,+5.9974088600000002e+00,-7.8638870999999999e-01
2138,Rise,RISE,2016-06-30T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.1408301153062247e-04,+1.8554915500000000e+00,+2.0939099341000000e+08,+2.0939099341000000e+08,,+4.0481700000000002e-03,+4.9266238000000001e-01,+4.5493648599999998e+00
2139,NativeCoin,N8V,2014-09-06T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.4887774055248114e-03,+0.0000000000000000e+00,+2.4809179864592191e+07,+4.0000000000000000e+07,+4.0000000000000000e+07,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2140,Robust Token,RBT,2021-07-10T00:00:00.000Z,2023-02-12T02:18:00.000Z,+3.6174266981056844e+00,+3.1745984276499998e+03,+2.3904880000000001e+04,+8.7312320000000007e+04,+1.0000000000000000e+05,-3.6109166999999998e-01,+1.3354541279999999e+01,+7.1243964300000000e+00
2141,DecentBet,DBET,2017-11-13T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.5790203447513151e-04,+1.6277767330000000e+01,+1.8863297302179232e+08,+1.8863297302179232e+08,,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2142,ZumCoin,ZUM,2018-12-28T00:00:00.000Z,2023-02-12T02:18:00.000Z,+8.7219435138120299e-05,+0.0000000000000000e+00,+9.8881949121884203e+08,+9.8881949121884203e+08,+1.0000000000000000e+10,-1.1118453000000000e-01,+6.9428917999999995e-01,-6.6068761599999997e+00
2143,Azuki,AZUKI,2020-11-11T00:00:00.000Z,2023-02-12T02:18:00.000Z,+7.6313976601340254e-03,+0.0000000000000000e+00,+1.1284983792370260e+07,+1.1310689726477310e+07,,-1.8626670000000001e-01,+1.3955291599999999e+00,-1.3457646909999999e+01
2144,Expanse,EXP,2015-09-15T00:00:00.000Z,2023-02-12T02:18:00.000Z,+4.5790203447513148e-03,+1.0393808511000000e+02,+1.8805100190000001e+07,+2.2845437000000000e+07,+1.0000000000000000e+08,-1.1118453000000000e-01,+6.9428917999999995e-01,-1.0852018149999999e+01
